"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Van a joder a los empleados.","310","3","2026-03-02T05:31:02.000Z","rael3942","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7585678868549436429","7612526457415533325","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/fe73ac1f8a52be4979fe2911042db690~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=11389484&x-expires=1778400000&x-signature=EHH9B0%2FD81AmdQPxB7EHWjTglUQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Why do we waste food? It's not funny. Others are starving.","119","1","2026-04-21T09:01:11.000Z","janossarkozi5","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6636306647227564038","7631134798611071766","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7320942109036822534~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c0e6f224&x-expires=1778400000&x-signature=fnmMhphNHoeXVtC6bUttsFcqWc8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"she knew 🤣🤣","5596","7","2026-03-01T19:47:51.000Z","luisnieto5390","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7017971111891829765","7612376121624118047","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/e6124a9c368ab0fa2db63967817aae6e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f880816a&x-expires=1778400000&x-signature=dmbWNKGKnvhhQjgKeAF%2FQGKtuSE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Just getting people fired for no reason","387","2","2026-03-02T03:37:30.000Z","vantyxcwisx","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7417894598340494382","7612497228326634271","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/967dad6a7a342e98343845ee6324c9b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=df1a002a&x-expires=1778400000&x-signature=Lzuy31hkVFCC%2BSZYsaYgPfBO%2BC4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"“they gave u like a whole salad on that thing “. I’m cryinnnnn😂😂😂😂😂","210","1","2026-03-02T05:11:31.000Z","mieasgallery","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7007620410535855110","7612521446103450398","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/54bcf3ed0ed44535822123625c31ab9b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9441c413&x-expires=1778400000&x-signature=PNUYM6DcFyWoSrOX%2B3%2FJ69Tef08%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"[Sticker] i feel bad for the staff who got scoled","68","0","2026-03-02T07:41:05.000Z","tyee015","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7299434813499786245","7612560025374507797","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ed929ba207b34a972dc6d29f809f00e7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=47f3d42d&x-expires=1778400000&x-signature=RYCQEjHCyAvsos98GygQqG%2F%2B328%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"That’s not funny…","20","0","2026-04-27T20:07:17.000Z","davidperezcatcher","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6859092941307511813","7633533015080354574","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7350235947725750314~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4d3a5aeb&x-expires=1778400000&x-signature=h6oPGjc1QEsKNmgmdCASdBVNH68%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"This is not a good things bro... These staff will loss their jobs..🥺","161","0","2026-03-02T09:07:06.000Z","niluka_nishamani","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6874879367173833733","7612582195652215559","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a23f514baf9c79cf46580e98ec1e13e3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=72588220&x-expires=1778400000&x-signature=VO4zbHetYxx4%2BipMJ3R3UYI2A34%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"him after getting someone fired","135","0","2026-03-02T03:12:00.000Z","1yanadnar","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7339668546148615174","7612490685250208530","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/95fe23d460fc123bf4830ff2f02e4b1a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=36f9110e&x-expires=1778400000&x-signature=vxL7eVS94iYCtq9YeT0g0MEA27k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"that is not funny","2","0","2026-05-09T07:15:59.000Z","_nokpop.nolife_","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6969864492205261826","7637787225162334992","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c475bff904d739196970a6dfff64a2eb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=51b59ffe&x-expires=1778400000&x-signature=LOnwlX7g9xSVztD2yMn2sLlfTWI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"SEE MY RREPOST","0","0","2026-05-09T07:39:20.000Z","jhonatanjacobyhua","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6967402939322745861","7637793352792539924","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/279c99106547a7d263fadab66ddf1109~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d75b69ca&x-expires=1778400000&x-signature=fVi9UJRG9TYEaCq8ya5FxK1i2xc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"THATS WILDD NAH","0","0","2026-05-09T07:20:01.000Z","_muravibe","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6787225763966075905","7637788333184303889","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/88a1d13f903265e5cc490b37ae1623fe~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9c36e9dd&x-expires=1778400000&x-signature=xOpDeEENYa4b4qlZGONX2Vq8qvY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-09T07:34:47.000Z","amoaminovia___12","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7564143871639651349","7637792151775331093","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/20f33210e825af4c56a4b890b91e83a7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1430bea9&x-expires=1778400000&x-signature=L%2BqL5lGkj8zqsOC%2FcldbqFx4ruA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"not interested , if still continue Report","3","0","2026-05-07T10:28:37.000Z","mrt3674","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7448596847423570961","7637094842698564360","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7277873af5f24793b7463ac3ea47a883~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=de7fc1b8&x-expires=1778400000&x-signature=nCVl1HphdafNznFedEnbxk5klPY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-09T07:16:38.000Z","geekmania24","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7562708853298856972","7637787524735746824","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/15fab164c4cadc18d3d67368319b7ce2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8468efcc&x-expires=1778400000&x-signature=fPeIk8PpsYYD13LBLb3DJmAGJlw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"SEE MY REPOSTT","0","0","2026-05-09T07:44:33.000Z","thomas_14_14","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6922487848748221446","7637794727303463687","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/4dda2f6e2e87ddc4f7eb89519b88a7cb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b8cdf6ae&x-expires=1778400000&x-signature=qQmYTRYL%2BJkyc0RMQYJlUUxS%2B2Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-09T07:05:14.000Z","pablosky_hc841","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7399424743940752389","7637784592279503632","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6717fe9b2efd8c6d32c20e04f6f5ad9a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d67b8987&x-expires=1778400000&x-signature=wdQb6VsftNR7bUPWaJFSF5QmV2w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"In the back of my mind","36","0","2026-03-02T09:47:21.000Z","malicezcskn","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7048319028818101254","7612592580266410759","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3726cc9b59f55143702f5b2bc3b01f22~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6556750e&x-expires=1778400000&x-signature=XW5UngG4BxjJ1Hl29WeFbjsyeNQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"""they gave you a whole salad on that thing"" 😭😭","32","0","2026-03-02T07:01:58.000Z","evephoria","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7609887196220343310","7612549860432134943","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/863610c208a0e7477432760ad14ab322~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5767fbe9&x-expires=1778400000&x-signature=SC1ksucumUKq5CQSKn9Qv81f%2FRM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"This is not funny for real. They might get fired for real bro.. hopefully you told them that's a joke","57","0","2026-03-02T05:24:29.000Z","qt_collector","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7175149276980331522","7612524830957716241","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6f248acf01f302132405523206361756~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=921c2fed&x-expires=1778400000&x-signature=Y26alV2Dk3tl3q4s7qaOxaVbMHE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Wasting food bro, not cool","13","0","2026-04-30T02:32:10.000Z","mazateco_89","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6842785577180431366","7634374363580990222","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9cb66695e8387bc6fcbdb09c9c035a02~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cc2a41ba&x-expires=1778400000&x-signature=ilPjA4H4nOVTYXpDEWnefLXrfSs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"bro lost his job over a joke","452","0","2026-03-01T23:12:25.000Z","who_is_n00bi","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7455496465625842734","7612428857983730445","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/55ed54618344cf31022d22d1fcb21998~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=12c61728&x-expires=1778400000&x-signature=KPbfGjgIeGy9aI9f%2BRDySbSBn%2FI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Not funny! making people get in trouble","10","0","2026-04-30T01:24:30.000Z","yvettblodgett","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7177945178535969838","7634356962687517471","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/51fc54489d56e469263f7c2b2dc378cd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f086303d&x-expires=1778400000&x-signature=kAsAWMOohO1C%2FLidKPCFheCvoOU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"LOOK AT MY REPOSTT","0","0","2026-05-09T06:30:57.000Z","han_eunnya","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7100192268158534657","7637775752016921362","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a7c6aa84cd47bb13b86f4eb8f1f08e37~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=49b8457c&x-expires=1778400000&x-signature=fn9iKsHmMjrv9%2BBo5ldu6kQQffM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-04T17:40:30.000Z","41.bartu","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7268979655158940678","7636092869825266449","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/11b17a7f47833ac1c22fa56f0b43fbb2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=932e7cc5&x-expires=1778400000&x-signature=C1Gfq75CJyAVN6i6RXK7rjfbtIU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-09T06:26:35.000Z","f135gh","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7403493369727321104","7637774621446112018","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/931ca1e7b68534be002e49b52dda5f0c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=79b7bb92&x-expires=1778400000&x-signature=jt%2FsgIkjV4BnywtbJ1bNAs%2FLy8A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"CHECKK MY REPOST","0","0","2026-05-09T06:32:20.000Z","itodisoafaniriana","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7084214270532404230","7637776112429007624","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/938c5ff4402e7456aa63bfc340997f49~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e7589ca9&x-expires=1778400000&x-signature=7tgIDJiHhx5A6nN1YM8ab4jDmbo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"stop no , its funny","0","0","2026-05-08T13:48:37.000Z","corvotacavenenoo","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7396505730633909253","7637517470462870279","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b407a4a1f048ef2387848a60045c2de7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56a456e9&x-expires=1778400000&x-signature=t0qGFlAd%2FMw52JWHJBo2%2BWmkdBc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"SEE MY REPOSTT","0","0","2026-05-07T10:56:40.000Z","ferreiraazx5","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7548478611176014904","7637102075595522823","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0c5030de242f1858517a7d37df605642~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=42bf01ce&x-expires=1778400000&x-signature=TVzXg5yUu%2B4t3QjCZepXxUJnM30%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
